"ID","Estimate","EstimateStderror","Hill","upper","lower","strain","antibiotic","MIC","EUCAST","quality","run","Etest_predicted_log","Etest_predicted","CI_low","CI_up"
"9_Tetracycline_80strains2.txt",0.55762721169494,0.0345346150294299,2.06694697598312,100.000000103396,1.13773032515486,"Fluorometric9","Tetracycline","4","R","quality ok","training",1.65939320781328,5.25612050375376,4.64628414612836,5.96126523788028
"9_Spectinomycin_80strains2.txt",1.51810500108243,0.0212943199062243,3.08297540576106,100.000063690478,0.804875510777235,"Fluorometric9","Spectinomycin","32","S","quality ok","training",2.62041942618387,13.7414859155555,12.0577979349904,15.6792238680164
"9_Penicillin_80strains2.txt",-0.589103194230932,0.0225676541592898,1.63241847939416,100.00000004675,0.117542547488523,"Fluorometric9","Penicillin","4","R","quality ok","training",0.512008023403874,1.66863849824655,1.51313503943947,1.84026401535836
"9_Ciprofloxacin_80strains2.txt",1.35849823825681,0.0127303976949295,2.71471193390518,100.000018423372,0.128540184423738,"Fluorometric9","Ciprofloxacin","32","R","quality ok","training",2.46072152853389,11.7132599430062,10.3482699634483,13.248597763214
"9_Ceftriaxone_80strains2.txt",-3.42362781421243,0.198443583520627,1.23297597399573,99.9988171667312,3.56212455411337,"Fluorometric9","Ceftriaxone","0.125","S","quality ok","training",-2.32413509881898,0.0978680536517918,0.0653360732352871,0.145868544475996
"9_Cefixime_80strains2.txt",-2.23677529449212,0.125036431414753,1.76984675737331,99.9999816892306,5.58731479644945,"Fluorometric9","Cefixime","0.25","R","quality ok","training",-1.13660489104834,0.320906687567275,0.247389855296742,0.4161145097997
"9_Azithromycin_80strains2.txt",-0.753878642986076,0.0146925155867163,2.67235990460334,99.9999422684983,0.551498574295876,"Fluorometric9","Azithromycin","0.5","I","quality ok","training",0.347138488525346,1.41501267482042,1.29217990622563,1.54970413526284
"8_Tetracycline_80strains1.txt",-0.295575517409085,0.130115702455612,1.99240949151357,100.00004031588,-0.368998090662968,"Fluorometric8","Tetracycline","2","R","quality ok","training",0.805703303357296,2.23827012828144,1.70697873564296,2.93381032431317
"8_Spectinomycin_80strains1.txt",0.648057598582264,0.227920289182204,3.41175998449707,99.9987475175777,0.649823475611319,"Fluorometric8","Spectinomycin","16","S","quality ok","training",1.74987523009048,5.75388471954114,3.64305004295055,9.12141277376026
"8_Penicillin_80strains1.txt",-3.5231960526443,0.0844997575289816,2.17126265139742,100.000216636999,1.70253591768285,"Fluorometric8","Penicillin","0.125","I","quality ok","training",-2.42376019031747,0.0885878830999783,0.0726186462362594,0.107841411179745
